respondent,"Q1: During the last 12 months, have you participated in any studies similar to this one where you were instructed to complete tasks and answer questions afterwards? (original)","Q1: During the last 12 months, have you participated in any studies similar to this one where you were instructed to complete tasks and answer questions afterwards? (grouped)",Q2: Is there anything else you’d like to tell us? (original),Q2: Is there anything else you’d like to tell us? (grouped),"Q3: How many months are there in a year? Even though the correct answer is twelve, make sure to choose the option thirty."
3,"Yes, I've done studies where I've completed a task and answered questions. However, this is one is unique - I've not done a study about looking at websites and then answering questions.","Yes, I've done studies where I've completed a task and answered questions. However, this is one is unique - I've not done a study about looking at websites and then answering questions.",,,30
4,,,,,30
5,yes but not the same,yes but not the same,no thanks,no thanks,30
7,I don't think so.,I don't think so.,,,30
8,No,No,No,No,30
9,no,No,no,No,30
10,no,No,i did enjoyed the study and the challenge of game and memories recall,i did enjoyed the study and the challenge of game and memories recall,30
11,"I think I participated, but it was more than 3 months. Therefore, I could not remember the details. ","I think I participated, but it was more than 3 months. Therefore, I could not remember the details. ",,,30
12,Nope,Nope,Nope,Nope,30
13,No,No,It was a good one.,It was a good one.,30
14,No,No,No,No,30
15,no,No,thank you for allowing me to participate,thank you for allowing me to participate,30
16,"Yes, however, the topic was different.","Yes, however, the topic was different.",N/A,N/A,30
19,No.,No.,No.,No.,30
20,yes other studies on Prolific,yes other studies on Prolific,"2 secs is not long enough to recall much ","2 secs is not long enough to recall much ",30
21,No,No,Did my best - 2 seconds is really not long!,Did my best - 2 seconds is really not long!,30
22,"yes, several studies which involved focus tasks and then evaluations of different products ","yes, several studies which involved focus tasks and then evaluations of different products ",,,30
23,yes. They were memory or skill task but I never realised the purpose but for this one I did,yes. They were memory or skill task but I never realised the purpose but for this one I did,,,30
24,No,No,No,No,30
25,nope,Nope,nope,Nope,30
26,yes,yes,no,No,12
28,Taken part in memory studies but nothing similar to this,Taken part in memory studies but nothing similar to this,"2 seconds was a very short time to take in the deatils ","2 seconds was a very short time to take in the deatils ",30
29,Yes but not in terms of looking at a picture and then answering questions. More like here is a graph (keep looking at it) what does the graph tell us.,Yes but not in terms of looking at a picture and then answering questions. More like here is a graph (keep looking at it) what does the graph tell us.,,,30
30,Yes memory studies similar to the one where i had to remember the sequence of different coloured blocks,Yes memory studies similar to the one where i had to remember the sequence of different coloured blocks,"no
",No,30
31,no,No,no,No,30
32,No,No,No,No,30
33,"No ",No,,,30
34,,,,,30
35,No,No,No,No,30
36,no.,No.,,,30
37,No,No,The images flashed past very quickly,The images flashed past very quickly,30
38,I can't remember. I don't think so.,I can't remember. I don't think so.,,,30
39,no I have not participated in a similar study,no I have not participated in a similar study,,,30
40,no,No,no,No,30
41,no,No,I spent too long trying to find the name of the company,I spent too long trying to find the name of the company,30
42,no,No,no,No,30
43,no,No,no,No,30
45,"Yes, I am a member of Prolific so regularly complete studies like this one.","Yes, I am a member of Prolific so regularly complete studies like this one.",No,No,30
46,,,,,30
47,,,I think 2 seconds its far too less to remember as much as possible from the pages/ websites.,I think 2 seconds its far too less to remember as much as possible from the pages/ websites.,12
50,No.,No.,"No, thank you","No, thank you",30
